date,strategy_id,market,category,sector_or_index,contribution,cumulative_contribution,portfolio_value_local,portfolio_value_usd_if_applicable,drawdown
2016-08-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,20000.0,21860.617730251062,,0.0
2016-09-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,21000.0,22627.835977789502,,0.0
2016-10-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,22000.0,23911.078275030486,,0.0
2016-11-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,23000.0,26425.999622100324,,0.0
2016-12-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,24000.0,28562.434113210285,,0.0
2017-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,25000.0,29933.856592014075,,0.0
2017-02-28,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,26000.0,32780.99236992287,,0.0
2017-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,27000.0,33200.445222940776,,0.0
2017-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,28000.0,34275.04631365844,,0.0
2017-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,29000.0,35090.3963130694,,0.0
2017-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,30000.0,37545.83514230213,,0.0
2017-07-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,31000.0,39771.6352646464,,0.0
2017-08-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,32000.0,41615.4090773628,,0.0
2017-09-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,33000.0,43767.42945093257,,0.0
2017-10-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,34000.0,46547.371336944125,,0.0
2017-11-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,35000.0,49050.67944973975,,0.0
2017-12-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,36000.0,51095.237027075396,,0.0
2018-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,37000.0,56481.200786718735,,0.0
2018-02-28,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,38000.0,56698.005652716354,,0.0
2018-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,39000.0,55550.72140866076,,-0.020235001757960995
2018-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,40000.0,57041.86533326743,,0.0
2018-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,41000.0,58151.45975519823,,0.0
2018-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,42000.0,58462.01176959378,,0.0
2018-07-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,0.0,42000.0,62203.85470655297,,0.0
2018-08-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,43000.0,65841.6844784626,,0.0
2018-09-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,44000.0,67553.70669859168,,0.0
2018-10-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,45000.0,64826.802992484016,,-0.040366455659856616
2018-11-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,46000.0,68149.24229910495,,0.0
2018-12-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,0.0,46000.0,62368.713711787364,,-0.08482161198428333
2019-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,47000.0,65258.70444183701,,-0.04241482017630449
2019-02-28,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,48000.0,68373.33929431498,,0.0
2019-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,49000.0,70160.69159500556,,0.0
2019-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,50000.0,77435.77642007369,,0.0
2019-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,51000.0,73670.1969686991,,-0.04862841990434833
2019-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,52000.0,79906.93685873742,,0.0
2019-07-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,53000.0,81846.24393527684,,0.0
2019-08-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,54000.0,81843.68075658014,,-3.1316998477360515e-05
2019-09-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,55000.0,83413.9599169021,,0.0
2019-10-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,56000.0,87953.6445147853,,0.0
2019-11-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,57000.0,92533.3646391375,,0.0
2019-12-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,58000.0,96739.46731140465,,0.0
2020-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,0.0,58000.0,97070.22293203772,,0.0
2020-02-29,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,59000.0,88577.61436545456,,-0.08748932793251271
2020-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,60000.0,76265.79051221733,,-0.2143235257055741
2020-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,61000.0,82891.52196953745,,-0.1460664304070598
2020-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,62000.0,87534.29729659992,,-0.09823739296564961
2020-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,63000.0,86381.43192699249,,-0.11011400491506888
2020-07-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,64000.0,89620.89668815667,,-0.07674162084799768
2020-08-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,64999.99999999999,98975.94613211163,,0.0
2020-09-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,66000.0,95702.49606414759,,-0.033073187939973624
2020-10-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,67000.0,91759.47841397175,,-0.07291132846062859
2020-11-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,68000.0,107879.18227748771,,0.0
2020-12-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,69000.0,113605.10921764345,,0.0
2021-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,70000.0,108857.56724492152,,-0.04178986319732009
2021-02-28,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,71000.0,120934.93160801327,,0.0
2021-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,72000.0,125232.30528927533,,0.0
2021-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,73000.0,134305.78843440057,,0.0
2021-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,74000.0,138848.11004842343,,0.0
2021-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,75000.0,137225.47208645544,,-0.011686424549834326
